Query,Answer,Timestamp,Expected Timestamp,Context,Correct (True/False)
At what timestamp does Andrew Huberman announce the practical tools for optimizing your morning routine?,Today,23.043 - 26.804,23.043 - 26.804,Today you're going to learn about practical tools for optimizing your morning routine.,True
At what timestamp does Andrew Huberman welcome the audience to a special episode of After School?,Thank you for joining for this special episode of After School.,925.745 - 928.126,8.339 - 10.92, Thank you for joining for this special episode of After School.,False
At what timestamp does Andrew Huberman introduce himself as a professor at Stanford School of Medicine?,neurobiology and ophthalmology at Stanford School of Medicine.,11.44 - 16.041,11.44 - 16.041,"I'm Andrew Huberman, professor of neurobiology and ophthalmology at Stanford School of Medicine.",True
At what timestamp does Andrew Huberman mention his role as the host of the Huberman Lab Podcast?,Hubermanlab.com,949.153 - 956.165,16.321 - 22.463," We are also Hubermanlab.com, that's our website and there you can find links to all of our social media and all of our podcast episodes.",False
At what timestamp does Andrew Huberman repeat his announcement about practical tools for optimizing your morning routine?,Today,23.043 - 26.804,27.184 - 31.305,Today you're going to learn about practical tools for optimizing your morning routine.,False
At what timestamp does Andrew Huberman discuss the foundational behaviors that set the stage for success?,"blah, blah, blah, blah",383.18 - 389.665,32.591 - 38.055," Significant increases in both and all the associated things of increased passion, blah, blah, blah, blah.",False
"At what timestamp does Andrew Huberman ask how one can lift more, focus better, and remember things better?",morning,23.043 - 26.804,38.095 - 43.439,Today you're going to learn about practical tools for optimizing your morning routine.,False
At what timestamp does Andrew Huberman say 'Let's think about the foundation of that'?,neurobiology and ophthalmology at Stanford School of Medicine.,11.44 - 16.041,43.459 - 45.961,"I'm Andrew Huberman, professor of neurobiology and ophthalmology at Stanford School of Medicine.",False
At what timestamp does Andrew Huberman mention that success comes down to sleep and non-sleep deep rest?,one night's bad sleep,72.541 - 77.985,46.442 - 52.786, It is not the case if you get a one night's bad sleep or that if you're not sleeping perfectly that you can't perform well.,False
At what timestamp does Andrew Huberman state that sleep is the fundamental?,just because I think it's important.,78.406 - 81.028,53.707 - 55.529,But let's talk about sleep and just because I think it's important.,False
At what timestamp does Andrew Huberman discuss how inconsistent sleep affects overall performance?,one night,72.541 - 77.985,56.963 - 68.156, It is not the case if you get a one night's bad sleep or that if you're not sleeping perfectly that you can't perform well.,False
At what timestamp does Andrew Huberman mention that poor sleep screws up metabolism and the immune system?,16 hours,238.288 - 248.761,68.416 - 70.979,"Then the hypothalamus releases this peptide, which is a wake-up signal for your whole brain and body, and sets a timer for the onset of melatonin release 16 hours later, melatonin being the hormone that makes you sleepy and makes you want to go to sleep.",False
At what timestamp does Andrew Huberman warn that one night's bad sleep doesn't ruin performance completely?,sleeping perfectly,72.541 - 77.985,72.541 - 77.985, It is not the case if you get a one night's bad sleep or that if you're not sleeping perfectly that you can't perform well.,True
At what timestamp does Andrew Huberman say 'But let's talk about sleep'?,just because I think it's important,78.406 - 81.028,78.406 - 81.028,But let's talk about sleep and just because I think it's important.,True
At what timestamp does Andrew Huberman discuss shift work?,a few hours,249.622 - 253.624,81.048 - 88.474," So you can imagine what happens if you don't get that light until a few hours later, everything shifted.",False
At what timestamp does Andrew Huberman advise that you should try and get really good sleep?,60 to 90 minutes,496.711 - 502.272,89.214 - 90.615, So a practice that's very useful to people is to delay the intake of caffeine by 60 to 90 minutes after waking.,False
"At what timestamp does Andrew Huberman mention '80% of the time, 80% of the nights'?","20%,",94.418 - 97.659,91.836 - 94.258,"The other 20%, I hope you're not getting good sleep for good reasons that you enjoy.",False
At what timestamp does Andrew Huberman mention that the other 20% of nights might not be good?,24 hour cycle,590.125 - 593.646,94.418 - 97.659,It's when your temperature is lowest that it's ever going to be in the 24 hour cycle.,False
At what timestamp does Andrew Huberman state 'there are a couple of things you can do'?,15 minutes per day,525.275 - 534.223,98.22 - 100.561,"But for people to have an afternoon crash, this can have tremendous benefits of, and maybe start by pushing it out 15 minutes per day.",False
At what timestamp does Andrew Huberman explain that every cell has a 24-hour circadian rhythm?,cortisol,606.675 - 609.197,100.641 - 107.265,The clocks of your body are matched to this cortisol pulse.,False
At what timestamp does Andrew Huberman advise aligning the clocks in your body?,a single time,107.705 - 112.087,107.705 - 112.087,Think of your body as a bunch of millions of clocks and you need to align those clocks to a single time.,True
At what timestamp does Andrew Huberman explain why traveling overseas affects your gut?,more easy,112.387 - 115.269,112.387 - 115.269,"This is why when you travel overseas, your gut goes off or it's more easy",True
At what timestamp does Andrew Huberman warn that misaligned clocks can lead to sickness?,single time,107.705 - 112.087,116.089 - 122.474,Think of your body as a bunch of millions of clocks and you need to align those clocks to a single time.,False
At what timestamp does Andrew Huberman stress the importance of getting natural light within an hour of waking up?,the same time the next day,597.709 - 606.375,123.615 - 130.881,"That increase in core body temperature triggers that increase in cortisol, and by viewing light at that time, you ensure that it happens at the same time the next day.",False
At what timestamp does Andrew Huberman advise turning on bright lights if you wake before the sun?,once it comes out,131.261 - 136.385,131.261 - 136.385,"If you wake up before the sun, turn on a bunch of bright lights and then get sunlight in your eyes once it comes out.",True
At what timestamp does Andrew Huberman note that dense cloud cover still provides more photons than artificial lights?,early in the day,260.587 - 266.37,137.026 - 143.651,"The other thing is that you can get bright light from electronic devices early in the day, but it's not enough.",False
At what timestamp does Andrew Huberman instruct to get five to ten minutes of sunlight without sunglasses?,"morning, once the sun is out",144.272 - 149.549,144.272 - 149.549," So try and get five to ten minutes without sunglasses outside in the morning, once the sun is out.",True
At what timestamp does Andrew Huberman mention that this sunlight exposure should be done most days?,20 or 30 minutes,373.309 - 377.132,150.382 - 151.843,"They were told to go outside 20 or 30 minutes, three times a week, just in the sunshine.",False
At what timestamp does Andrew Huberman highlight the outsized effect of sunlight exposure?,"that time, you ensure that it happens at the same time the next day",597.709 - 606.375,152.403 - 154.744,"That increase in core body temperature triggers that increase in cortisol, and by viewing light at that time, you ensure that it happens at the same time the next day.",False
